loan_id,NE_MONEY,NE_CARDINAL,NE_GPE,NE_PERSON
7779,0,1,1,2
2777,0,2,0,1
6007,1,3,3,4
76,0,7,0,1
4217,0,1,2,1
5077,0,1,0,0
6033,1,4,7,4
843,0,3,0,5
4357,0,2,2,2
7007,0,2,1,1
1399,6,2,0,2
4729,0,3,1,1
1768,3,2,2,2
449,0,1,1,2
6906,0,1,1,3
5620,0,2,0,0
3114,0,1,2,3
7078,0,2,2,1
504,0,0,1,0
342,1,1,0,1
5654,0,1,2,0
345,0,4,0,2
2075,0,0,0,1
7644,0,3,1,1
857,0,1,1,2
4241,0,2,0,2
7027,0,0,0,1
5264,0,1,0,1
7975,0,1,1,1
5917,0,1,0,5
6002,0,3,1,0
7467,0,3,2,2
1422,2,6,0,0
5163,0,1,1,2
7026,0,3,0,2
4280,0,2,0,0
5806,0,4,0,4
2284,0,4,1,3
5886,0,1,0,2
5707,3,3,6,1
7829,0,2,1,3
1496,4,2,1,1
2565,3,1,0,1
2468,0,0,0,2
5725,0,2,1,3
2106,0,0,0,0
6546,1,1,1,1
4139,0,0,0,1
3167,0,1,0,0
4602,0,1,0,0
6551,0,3,0,1
5269,0,1,2,0
1790,1,1,2,1
7035,0,0,1,1
562,0,1,0,0
1003,0,1,0,1
7287,0,1,0,4
6274,0,5,0,2
3094,0,1,2,3
6119,0,1,1,1
100,0,2,0,0
1861,0,1,0,3
7182,0,0,1,4
3099,0,0,0,0
5666,0,0,0,2
5696,0,0,0,0
5601,0,1,0,0
2072,0,1,1,3
6860,0,0,0,2
381,0,1,0,2
3977,2,0,3,2
4988,0,4,0,1
1330,3,1,1,1
480,0,5,3,6
1573,0,0,1,2
58,5,6,6,0
7100,0,1,1,0
1220,0,1,0,0
875,3,2,3,2
7749,0,2,5,3
994,0,4,1,5
1118,0,1,1,3
3249,0,1,0,3
3206,0,3,1,1
632,3,0,2,3
5863,0,1,3,1
2740,0,0,0,0
5173,0,1,0,3
5303,0,1,0,0
3213,0,1,0,3
7104,1,4,1,7
2829,0,3,0,3
7173,1,2,2,2
965,0,2,0,3
3765,0,2,3,6
6996,0,4,1,0
4420,0,1,0,0
6968,0,2,1,3
6187,0,1,0,1
780,0,4,0,1
6166,0,1,2,0
427,0,4,2,0
451,0,1,1,1
3321,0,1,0,3
988,0,1,0,2
5743,1,5,2,3
1810,3,2,0,4
5905,0,1,0,6
6675,1,1,6,0
7051,0,4,1,3
2012,0,0,2,3
2035,0,4,3,2
4760,0,1,0,1
7444,1,1,3,1
1622,4,5,0,3
1595,0,4,1,2
989,0,3,0,1
6992,0,2,0,2
7096,0,2,2,8
120,0,2,1,2
5598,0,0,0,0
1921,4,1,0,4
7058,0,4,2,5
1564,4,4,4,2
4905,1,3,1,0
6868,0,1,1,1
6692,0,2,0,3
3186,0,0,1,0
1881,3,1,2,1
6577,0,3,0,4
7446,1,1,1,3
3347,0,1,10,2
1504,3,4,1,5
1812,7,6,0,0
7203,0,3,1,4
6758,0,1,0,2
6188,0,1,5,0
6083,0,3,0,0
7269,0,6,1,4
5201,0,0,0,0
4147,0,1,0,3
2345,1,1,0,2
6915,1,1,3,1
6742,0,1,4,0
1039,0,5,3,4
1684,7,1,7,2
4321,0,1,3,0
6139,1,2,3,3
4980,0,1,1,1
7888,0,3,3,7
1854,1,2,2,0
1923,4,2,0,3
7765,0,5,0,3
1042,1,4,1,0
2067,0,1,8,2
1231,0,6,1,0
5221,0,0,0,1
2314,0,1,0,5
3647,2,2,2,6
2975,0,0,1,0
5461,1,1,0,0
1412,0,1,0,1
548,0,1,0,1
114,0,2,0,0
7333,0,2,2,3
6286,0,2,3,1
2470,0,0,0,4
3751,3,3,0,1
344,0,2,1,3
2140,0,0,0,0
665,6,3,7,2
6550,0,1,0,2
1689,4,5,4,4
783,0,5,0,0
1889,1,3,1,3
82,0,1,0,0
6070,0,2,0,3
6029,0,3,0,1
1166,0,2,0,0
7172,0,1,0,4
1706,0,1,0,2
5668,0,3,0,3
6095,0,1,0,1
2297,0,0,0,5
2274,0,2,1,4
1699,1,5,1,3
5773,0,2,3,3
3620,0,2,0,2
6027,0,1,0,0
1775,5,1,0,4
5844,0,3,0,1
6314,0,2,0,0
2332,4,2,9,7
915,1,1,0,0
4955,0,0,0,0
2927,0,2,0,0
3268,0,0,1,3
2057,0,0,1,0
1914,4,2,1,1
5929,0,2,0,2
6881,0,2,2,4
4375,0,1,0,0
3087,0,0,3,12
1455,6,2,0,1
6067,0,2,3,6
7330,3,5,0,0
7849,0,2,2,0
1649,0,1,0,2
3275,0,1,3,5
5185,0,1,2,1
722,5,2,0,3
5977,1,1,1,1
4971,0,1,2,1
4185,0,0,0,0
3744,1,2,5,1
5890,0,0,0,1
1796,0,5,2,0
3366,0,1,2,5
7091,0,2,1,5
5450,0,1,0,0
1652,0,3,3,2
2632,1,1,1,1
5674,0,3,1,5
3303,0,1,0,2
5747,1,1,0,4
3074,0,0,0,3
1203,0,6,4,5
4598,1,1,0,1
3246,0,1,4,8
1144,0,2,0,2
1097,0,1,0,0
7321,0,0,0,1
2774,0,1,0,0
2972,0,0,0,0
7195,1,1,1,2
2296,0,2,0,4
363,0,1,1,4
2265,1,3,0,4
3368,0,1,2,3
6411,0,1,1,1
5065,0,1,0,2
4969,1,1,1,0
6922,0,3,1,3
138,4,10,5,1
3517,0,0,2,2
185,0,3,0,1
7979,0,4,3,3
7573,0,4,2,4
5729,1,0,5,1
4735,1,1,2,1
744,0,3,0,0
218,0,2,0,1
4960,0,2,0,0
6770,1,2,0,3
5033,0,2,0,1
1829,2,5,3,7
2431,1,1,0,3
6660,0,3,0,1
5483,0,0,1,1
964,0,1,0,0
6724,0,2,1,0
2659,0,2,1,0
6780,0,1,3,2
320,3,4,5,3
3053,0,2,0,4
1987,0,1,0,4
7554,0,4,4,0
2089,0,2,1,1
5271,0,0,2,3
4480,0,1,0,0
6276,0,3,0,0
1023,0,2,2,1
5268,0,1,0,0
5646,0,2,0,1
1890,2,4,2,3
7922,1,2,2,1
2746,0,0,1,2
6977,0,0,2,0
4762,2,1,1,2
1450,1,2,0,2
5076,0,1,0,0
2329,0,2,0,0
6916,1,1,4,0
1186,0,1,0,0
1050,2,2,0,1
5475,1,0,0,3
2583,0,3,1,1
3168,0,1,0,0
896,0,3,0,1
5079,0,1,0,2
7463,0,2,7,5
6327,0,1,0,0
1943,3,1,1,3
3535,0,0,0,3
7878,0,1,0,5
5420,0,1,0,2
2823,0,0,1,1
3814,0,2,1,3
5635,0,2,0,2
3407,0,1,2,9
1995,0,2,1,0
3145,0,1,3,2
6870,0,1,0,3
296,0,1,1,4
4757,0,0,0,1
3690,0,1,1,1
6477,0,2,1,2
4103,0,1,0,1
3833,0,3,0,0
6041,0,1,0,1
2832,0,3,0,3
5832,0,0,0,2
943,0,1,3,0
3016,0,0,1,0
6734,0,1,1,0
3358,0,2,0,11
6267,0,0,0,0
4512,1,1,0,1
2934,0,0,1,2
3929,0,2,3,2
3639,0,1,0,0
7776,0,1,3,0
5191,0,3,4,0
5418,0,1,0,1
25,0,5,0,3
1952,1,2,1,1
7065,1,1,2,4
4803,0,0,1,2
7250,0,2,1,1
3342,0,0,0,7
5017,0,1,0,0
382,0,6,1,2
6672,0,0,0,1
885,0,0,0,0
3489,0,2,1,1
6591,0,6,0,3
1701,1,3,1,1
6649,0,2,0,0
7637,1,4,5,4
1847,0,0,0,0
7286,0,4,2,4
908,0,1,0,1
5677,0,0,0,1
1048,1,2,1,2
2935,0,1,0,2
6312,0,2,0,0
4297,1,1,1,2
7786,0,2,0,3
405,2,2,4,4
3,1,2,1,2
3233,0,2,4,5
3007,0,1,0,3
920,1,4,0,2
6205,0,1,0,1
1736,0,3,0,3
7316,0,1,0,1
3829,0,5,0,1
3880,0,3,0,0
3408,0,3,1,4
6815,0,2,0,2
410,3,2,4,0
7198,0,1,1,2
5315,0,1,0,1
6616,1,1,4,2
2599,4,1,0,6
1828,1,5,2,7
5092,0,0,0,0
1905,1,0,1,1
2706,0,1,1,2
3497,0,2,0,0
2826,0,1,0,2
7376,0,4,1,1
1262,0,1,0,0
6718,0,1,1,3
6719,0,0,0,1
7877,0,1,1,4
6281,0,2,1,0
2238,0,1,1,0
1316,0,1,1,1
7473,0,0,0,1
3305,0,1,1,3
6738,0,1,2,0
5617,0,0,0,5
2879,0,2,0,2
5383,0,3,0,0
610,0,5,0,2
5230,0,1,0,3
3404,0,1,4,10
5750,1,1,2,0
6279,0,2,0,0
6879,0,1,2,1
374,3,4,0,1
6761,0,1,0,4
2457,0,1,0,1
7512,0,2,2,1
135,0,3,0,2
651,7,4,0,2
3761,2,1,1,3
7057,0,1,0,6
1777,5,2,1,2
423,0,1,0,7
2785,0,1,1,0
5757,0,1,0,1
216,0,1,0,0
4396,1,2,0,2
2425,0,2,3,3
3119,0,0,0,4
7803,0,1,0,1
1180,4,3,4,2
2524,4,1,0,5
1567,5,0,6,0
2195,4,3,0,1
7380,1,5,2,4
7954,0,1,1,3
5758,0,1,1,1
6091,0,0,0,4
1275,0,1,0,0
4121,0,2,1,1
7921,0,4,2,1
1141,0,1,1,1
2971,0,2,2,4
2711,0,1,1,0
7673,0,4,0,5
649,0,1,0,0
1310,0,4,0,0
3228,0,1,0,2
1386,5,3,5,3
6806,0,1,0,1
5602,0,2,0,0
7478,0,2,0,3
5183,0,2,0,0
710,2,4,2,6
6561,0,1,5,3
6653,0,1,0,1
6341,0,0,2,0
5628,0,1,0,3
2979,0,1,2,2
6419,0,7,4,4
2694,1,1,0,2
3361,0,2,4,4
4394,0,1,0,4
667,0,3,0,3
1740,5,3,0,0
1822,1,1,3,0
5912,2,7,0,12
1883,1,1,1,1
2889,0,3,0,9
2997,2,4,0,7
2716,0,2,1,3
5239,0,1,0,0
2695,1,1,0,0
899,0,10,3,0
6536,0,0,1,2
2482,1,1,0,2
180,0,3,1,5
1259,0,2,0,0
7353,0,3,0,1
6792,0,0,0,0
7744,0,3,3,6
5648,0,1,0,1
2778,0,2,1,0
3401,0,1,7,4
980,1,3,0,1
4440,0,2,2,0
6973,0,2,2,1
3039,0,1,0,0
5131,0,1,0,3
5804,0,1,0,3
6278,0,1,0,1
6475,0,3,0,2
1945,4,2,1,4
1721,1,3,2,1
6387,0,0,0,1
621,0,4,0,3
5830,0,4,1,5
2013,0,2,2,2
431,0,7,2,3
7118,0,3,3,0
3837,2,4,1,2
817,0,1,0,1
115,1,2,2,0
5298,0,0,1,1
2466,0,2,0,1
818,0,1,2,1
1754,0,2,0,1
5072,0,1,0,0
6699,0,3,1,3
5951,0,2,4,1
7955,1,3,0,2
1811,5,3,0,6
1393,0,1,0,0
2395,1,5,4,3
1083,0,1,0,0
7060,0,2,1,1
1501,3,4,1,4
6842,0,4,3,3
2481,2,1,2,2
6615,0,3,3,0
6567,0,1,0,0
6753,0,1,2,5
1519,4,1,2,0
5385,0,1,0,0
7052,2,2,2,2
7548,0,4,3,1
6584,1,1,0,3
2592,1,1,2,0
5189,0,2,0,3
1345,0,4,0,4
3023,0,1,1,0
2454,0,2,1,3
1663,1,1,0,3
1110,0,1,0,0
1138,0,1,0,0
7607,0,2,2,7
2422,0,1,0,2
599,0,1,2,5
1058,0,3,0,1
1869,0,2,3,0
5671,1,3,1,3
3257,0,0,0,0
4019,0,1,0,2
4325,0,1,0,1
1405,4,4,0,5
1539,3,4,2,4
2673,1,6,6,12
3554,0,0,2,0
3468,0,2,0,0
5928,0,2,1,3
304,0,6,1,6
1157,0,1,0,1
7212,0,1,1,1
2961,0,3,4,6
7068,1,1,3,0
3330,0,1,0,1
5059,1,0,0,6
1910,3,7,5,0
7795,0,2,1,4
5381,0,2,0,4
4528,1,1,2,0
3049,0,1,1,1
7828,0,4,3,1
2892,0,2,4,4
3935,0,1,0,2
7761,0,1,2,2
3721,1,1,0,1
766,0,1,2,0
7610,0,2,1,1
3171,0,1,0,1
1188,0,1,0,0
5793,0,1,1,0
847,2,0,0,3
7601,0,2,1,6
4727,1,2,0,0
1598,4,2,4,1
3681,0,3,0,1
6571,0,0,0,0
5379,0,5,0,2
5548,0,2,5,2
772,0,4,4,5
5650,0,3,0,1
6980,0,2,0,4
3341,0,0,2,6
1528,5,3,0,1
3608,0,5,2,0
7582,0,2,1,1
5749,1,1,0,1
2753,0,2,1,0
7745,0,3,1,1
6382,0,4,2,1
1176,1,2,0,1
5416,0,3,0,0
1140,0,1,1,3
2690,1,1,2,2
3076,0,2,1,7
6344,0,1,0,1
4081,0,3,0,1
6898,0,1,0,2
6628,1,1,4,0
1036,1,0,0,2
3063,0,2,0,3
1886,0,1,3,2
1547,4,5,0,0
961,0,1,1,1
7458,0,6,2,1
1711,0,2,3,8
2301,0,1,0,1
2761,0,1,0,3
7736,0,2,0,5
79,0,1,0,1
5849,0,0,0,1
7204,1,3,2,2
6483,0,1,9,0
7496,0,2,1,1
1993,0,3,2,4
3176,0,0,0,4
4592,0,2,1,2
7041,0,1,0,3
984,1,5,3,0
1088,0,1,0,0
6175,0,2,0,1
4373,0,0,0,0
1510,3,2,3,1
5018,0,1,0,0
1490,4,0,0,2
1604,3,0,5,2
2444,0,1,3,2
2620,0,3,2,4
6588,1,1,0,0
3873,0,1,0,0
6817,0,1,0,2
4123,0,0,0,1
4013,0,0,1,3
5209,0,1,0,0
3851,0,1,0,1
1391,1,1,0,2
2575,0,0,6,0
4107,2,3,2,0
5251,0,1,1,0
2621,0,2,1,2
7042,0,2,1,3
1304,5,3,0,2
4025,0,2,0,2
3611,0,2,0,1
2663,1,2,2,1
7542,0,1,2,2
518,0,2,0,0
7043,0,2,0,0
7356,0,2,0,0
7804,0,3,1,1
392,3,2,2,1
7426,0,0,0,4
7503,0,5,2,0
6482,0,2,0,3
928,0,1,0,0
5853,0,1,2,0
791,0,1,0,0
5779,0,0,0,0
587,3,1,0,1
7003,0,1,0,3
835,0,5,1,1
2657,0,2,1,1
5405,0,0,0,1
2532,5,2,4,3
1716,1,9,3,2
422,0,2,0,2
7076,0,1,1,1
2896,0,0,0,3
7106,0,1,0,3
888,0,1,0,0
7427,0,4,1,2
2717,0,2,1,5
200,3,2,4,2
2131,2,2,13,5
5104,0,7,2,2
290,0,2,0,0
5903,0,0,3,0
6108,0,2,0,1
7335,0,1,3,4
7279,0,2,0,1
6569,1,2,6,6
854,1,2,1,1
1439,3,3,1,1
6494,0,4,5,3
2413,0,1,0,1
5807,1,1,0,1
3838,0,4,0,3
3759,3,4,1,1
7961,0,3,2,2
1523,3,2,0,1
3551,0,2,2,0
3344,0,2,0,10
3527,0,1,1,2
1481,0,3,2,8
4634,1,2,0,0
2085,3,0,1,2
7288,0,5,1,0
6262,0,1,3,3
7825,0,2,4,4
6650,0,1,0,1
6152,1,5,0,0
2492,0,1,0,1
3343,0,0,5,9
605,0,1,2,0
4367,0,3,0,3
675,0,3,1,3
3224,0,1,1,1
6273,0,4,1,4
916,1,1,1,1
6846,0,2,0,2
7645,0,2,1,2
2677,0,2,0,0
4239,0,0,0,1
573,0,4,4,0
6851,0,1,0,4
2996,0,4,1,4
7627,0,2,0,1
3193,0,0,0,2
6195,0,1,0,1
680,0,1,0,1
4893,1,3,6,2
878,7,2,8,2
7853,1,3,0,4
3937,0,1,1,4
1506,1,4,1,4
6268,0,0,0,1
5337,0,3,0,1
1052,2,0,4,3
678,0,2,0,0
1258,0,2,0,0
2945,0,1,3,0
5249,0,1,0,1
6017,1,4,7,4
777,0,5,1,6
7232,0,1,2,0
5027,3,2,5,2
153,5,3,6,5
1438,3,1,0,1
5656,0,2,0,0
1311,0,4,0,3
5375,0,4,0,0
6940,0,1,1,1
2910,5,3,1,17
1616,3,3,1,1
4131,0,1,0,1
5682,1,1,2,0
5432,0,1,0,1
3073,0,1,3,0
3061,0,1,0,3
2460,1,3,0,3
1727,4,3,0,0
3107,0,1,0,0
6600,0,1,0,0
1464,0,2,0,3
4443,0,1,1,4
6991,0,2,8,3
3364,0,2,1,8
4647,0,3,1,2
2005,4,1,1,0
1121,0,0,0,0
625,0,2,2,2
4954,0,2,2,0
7255,0,3,1,2
2653,0,2,0,3
527,0,3,0,0
2959,0,3,0,3
3346,0,1,3,6
1001,0,2,2,2
6858,0,1,2,0
6345,1,1,0,0
775,3,4,2,2
7059,0,2,0,1
487,4,4,2,10
5567,0,1,1,3
1132,0,1,0,1
1289,3,3,1,0
184,0,5,0,1
4276,0,1,0,0
1643,0,1,1,3
3028,0,0,3,1
7655,0,2,4,2
2817,0,2,0,0
6311,0,1,0,3
136,0,2,0,2
1396,0,1,1,1
1164,3,1,2,2
3622,0,1,0,3
77,0,1,0,1
5963,1,4,0,2
4556,1,2,0,2
2938,0,0,1,0
2368,5,2,0,1
4984,0,0,0,0
6316,0,1,0,2
893,1,4,4,0
1350,0,1,0,0
688,0,5,1,0
5127,0,1,0,4
121,0,4,1,3
2228,0,1,1,5
3821,1,0,2,5
659,0,1,0,1
5169,0,1,1,0
1632,3,2,0,1
4341,0,1,1,2
479,1,1,1,5
6143,0,0,0,0
6799,0,2,0,1
6398,0,2,3,0
7175,1,1,2,0
6379,0,1,0,1
1318,0,1,1,1
2065,5,1,0,5
5459,1,2,0,0
1432,4,2,0,2
1583,6,2,1,3
2580,0,3,2,1
723,4,5,1,1
2574,0,1,2,1
2637,1,2,1,2
6114,0,1,1,1
1068,3,5,0,2
3953,0,1,3,0
2327,3,1,2,1
5255,0,0,1,3
6543,0,3,2,0
6258,0,2,3,2
4335,1,1,0,0
6601,0,1,0,2
83,4,4,5,4
6538,0,2,0,1
5678,0,1,0,1
2292,1,1,0,1
7641,0,3,0,2
4167,0,3,3,6
6206,0,3,1,4
6540,0,2,1,1
7231,0,1,1,1
7097,0,1,3,6
6639,0,2,2,4
5031,0,1,0,3
1236,0,1,0,1
2081,1,1,1,1
4264,0,2,4,0
473,3,3,5,0
7797,0,0,2,4
503,0,2,0,4
666,0,4,3,3
5085,0,2,3,0
5815,1,2,3,6
370,6,1,1,1
5681,0,2,1,1
1447,0,4,0,2
6938,0,2,2,0
3637,0,2,0,2
5626,0,1,0,4
4776,1,2,3,4
7047,0,2,1,6
4520,1,1,1,1
2864,0,2,0,0
1384,1,2,1,2
5071,0,0,0,0
759,0,1,0,1
840,0,3,0,5
6903,0,2,0,0
6629,0,2,2,5
784,0,3,0,1
1809,5,3,0,3
933,0,1,0,0
1398,3,2,0,4
91,4,5,7,4
1299,3,1,0,2
6081,0,3,0,5
152,9,2,17,2
2806,0,1,0,2
1280,3,1,0,2
5028,1,5,0,3
6763,1,2,2,0
1467,4,3,5,1
7560,0,2,1,1
7219,0,1,3,2
7873,0,2,0,4
7284,0,3,0,0
6004,0,3,1,1
3308,0,1,0,3
1264,0,2,0,0
5486,0,0,0,0
2851,0,1,0,1
2923,0,2,0,1
7318,0,4,1,8
7439,1,5,2,8
2793,0,1,1,0
4177,1,1,0,0
1429,0,1,1,0
7669,2,1,3,2
7136,0,2,1,4
130,0,5,1,0
7851,3,4,0,3
3237,0,1,8,8
1247,0,1,0,0
4584,1,0,0,4
5644,0,1,0,1
3581,0,1,0,0
4062,0,0,0,1
1051,2,1,1,5
6884,0,1,2,2
6582,0,1,0,3
6844,0,2,1,2
5207,0,1,4,0
2178,3,1,4,3
98,0,4,1,3
7272,0,5,3,3
1863,0,1,0,1
6193,0,3,0,2
5918,0,5,1,5
3105,0,0,0,2
6329,0,6,4,0
2307,0,0,2,2
2847,0,2,0,3
1584,4,2,0,4
7513,0,3,2,1
5964,1,7,4,5
1474,1,3,0,1
2324,1,1,2,1
1004,0,5,0,0
5667,1,1,4,6
4163,0,1,3,6
6936,0,3,3,0
1293,5,3,0,3
7116,0,0,4,6
3172,0,0,0,2
3286,0,2,4,3
5026,0,1,0,1
6249,1,1,0,1
2236,0,0,0,1
7337,0,0,2,4
4561,0,5,1,0
7086,1,2,0,1
6526,1,1,0,0
2665,1,2,0,4
6356,0,0,0,3
7911,3,5,2,6
5367,0,3,0,4
2841,0,2,0,3
6506,0,2,1,0
5914,2,1,5,7
7340,0,2,1,0
1197,4,3,4,3
3203,0,2,0,5
6637,0,5,0,3
1911,0,5,1,6
171,0,2,0,1
2119,4,1,0,1
1785,0,1,0,2
2027,0,1,0,0
7162,0,1,0,4
1561,0,3,3,0
1953,5,1,0,3
4940,0,1,0,0
2529,5,0,3,2
1194,2,4,1,0
7600,0,5,1,1
1475,4,2,0,1
6450,0,1,0,0
5505,0,1,0,2
1453,1,2,0,1
2550,0,0,3,2
754,2,2,0,8
6706,0,4,0,4
4815,1,4,0,1
7099,0,1,1,3
4968,0,1,0,0
7171,1,0,5,0
2341,1,4,3,1
1758,0,1,0,1
6415,0,0,0,2
3872,0,3,0,4
7075,0,3,2,3
210,5,8,10,1
6788,0,1,0,0
7107,0,4,2,1
6691,0,2,0,1
6732,0,2,1,0
7033,0,2,1,2
5921,0,0,2,4
3670,0,6,0,2
6200,0,1,0,3
3773,1,1,0,0
6914,1,4,3,1
3317,0,2,2,11
7227,0,3,0,1
4950,0,2,4,4
805,0,3,0,1
5986,1,1,1,3
5361,1,1,0,1
4983,0,0,0,0
6917,0,1,2,0
5952,0,0,0,2
6966,0,1,2,8
5786,0,1,0,3
7386,0,2,0,0
2378,5,1,0,1
269,0,2,3,3
2708,0,2,2,3
7666,0,2,0,3
6463,0,2,2,4
3310,0,2,1,2
5724,1,10,4,8
4964,0,1,0,1
7915,1,2,1,0
6299,1,2,0,3
1491,3,0,0,2
2796,0,1,0,1
7871,0,2,2,3
4530,1,1,0,0
1223,0,0,0,0
4843,0,3,3,2
1277,0,1,0,0
397,3,4,2,2
5360,0,3,0,0
1067,4,5,0,1
2155,0,1,0,3
3215,0,0,0,2
7737,0,2,1,2
5902,1,3,4,1
3109,0,1,0,0
2636,1,1,1,2
4856,1,10,2,17
331,0,6,2,5
6775,1,2,1,2
5229,1,1,2,9
2331,5,4,4,3
2111,1,0,5,2
6315,0,1,0,0
7504,0,2,1,2
6586,1,2,0,0
3211,0,4,2,7
2824,0,0,0,2
6417,1,3,3,3
